ROW,ID,TEXT,CODE,PKEY,SORT,PLT
1,CQ1,GOV Domain Registration Systems,GOV_DOMAINYSTEM,5000,1,400
2,CQ1,Access to Data systems,ACCESS_DATA_SYS,5001,2,400
3,CQ1,Agency support tool ,AGENC_SUPPORT_T,5002,3,400
4,CQ1,Business Intelligence Services,BUSI_INTELLIG_S,5003,4,400
5,CQ1,Collaboration Tools (SharePoint),COLLABOR_TPOINT,5004,5,400
6,CQ1,"Collect, analyze, maintain and share data",COLLECT_AN_DATA,5005,6,400
7,CQ1,Consulate Database (VISA),CONSUL_DATABAS_,5006,7,400
8,CQ1,Cybersecurity Monitoring,CYBERSECUR_MONI,5007,8,400
9,CQ1,Cybersecurity tools/solutions,CYBERSECURSOLUT,5008,9,400
10,CQ1,Data Repository,DATA_REPOSITORI,5009,10,400
11,CQ1,Decision making tool,DECIS_MAKE_TOOL,5010,11,400
12,CQ1,Diplomatic and Incident Response Communications,DIPLOMAT_IOMMUN,5011,12,400
13,CQ1,Email services and/or internet access,EMAIL_SERVCCESS,5012,13,400
14,CQ1,Emergency management System,EMERG_MANAG_SYS,5013,14,400
15,CQ1,Emergency response plans and personnel,EMERG_RESPONNEL,5014,15,400
16,CQ1,Enterprise resource planning,ENTERPRIS__PLAN,5015,16,400
17,CQ1,Explosive Threat Profiles,EXPLOS_THREAT_P,5016,17,400
18,CQ1,Financial [Agency Level],FINANCI_AGENC_L,5017,18,400
19,CQ1,Financial [National Level],FINANCI_NATION_,5018,19,400
20,CQ1,Financial System ,FINANCI_SYSTEM,5019,20,400
21,CQ1,Fingerprint Database,FINGERPRINT_DAT,5020,21,400
22,CQ1,General Support System (GSS) [WAN / Mainframe / Gateway],GENER_SUPPTEWAY,5021,22,400
23,CQ1,General System and Infrastructure Support,GENER_SYSTPPORT,5022,23,400
24,CQ1,Human Resource (HR),HUMAN_RESOURC_H,5023,24,400
25,CQ1,"Identity and Access Management (IDAM) / Identity, Credential, and Access Management (ICAM) / Authentication / Active Directory",IDENT_ACCECTORI,5024,25,400
26,CQ1,Immigration (most),IMMIGR_MOST,5025,26,400
27,CQ1,Imports-Exports Compliance [Port of Entry],IMPORTS_EXENTRY,5026,27,400
28,CQ1,Internet-Based / Web-Based (Front-Facing Applications),INTERNET_BTIONS,5027,28,400
29,CQ1,IT support services,IT_SUPPORT_SERV,5028,29,400
30,CQ1,Law enforcement services,LAW_ENFORC_SERV,5029,30,400
31,CQ1,Local Area Network (LAN),LOCAL_AREAK_LAN,5030,31,400
32,CQ1,Loss of Life Potential ,LOSS_LIFE_POTEN,5031,32,400
33,CQ1,Manage medical related data,MANAG_MEDI_DATA,5032,33,400
34,CQ1,Office of the Inspector General (OIG),OFFIC_INSPR_OIG,5033,34,400
35,CQ1,Other,OTHER,5034,35,400
36,CQ1,Payroll ,PAYROL,5035,36,400
37,CQ1,Physical Access Control Systems (PACS),PHYSIC_ACC_PACS,5036,37,400
38,CQ1,Procurement systems,PROCUR_SYSTEM,5037,38,400
39,CQ1,Radio communications,RADIO_COMMUN,5038,39,400
40,CQ1,Real-time data alerts and updates,REAL_TIM_DUPDAT,5039,40,400
41,CQ1,Real-time imagery,REAL_TIM_IMAGER,5040,41,400
42,CQ1,Security Clearance / Background Investigations ,SECUR_CLEATIONS,5041,42,400
43,CQ1,Security Operations Center (SOC),SECUR_OPERR_SOC,5042,43,400
44,CQ1,Supervisory Control and Data Acquisition (SCADA) – electrical systems,SUPERVISORYSTEM,5043,44,400
45,CQ1,Support to Vulnerability  Assessments,SUPPORT_VUSSESS,5044,45,400
46,CQ1,Tactical communications,TACTIC_COMMUN,5045,46,400
47,CQ1,Trusted Internet Connection (TIC),TRUST_INTET_TIC,5046,47,400
48,CQ1,Weather warning and analysis services,WEATHER_WAERVIC,5047,48,400
49,CQ1,Web based monitoring system,WEB_BASE_MYSTEM,5048,49,400
50,CQ1,Other ,OTHER,5049,50,400
51,CQ2,Cyber Security Support,CYBER_SECUR_SUP,5059,1,401
52,CQ2,Financial Information Support,FINANCI_INPPORT,5060,2,401
53,CQ2,Medical/health care Support,MEDICAL_HEPPORT,5061,3,401
54,CQ2,Data storage and management,DATA_STORAG_MAN,5062,4,401
55,CQ2,Legal Services,LEGAL_SERVIC,5063,5,401
56,CQ2,Law enforcement services,LAW_ENFORC_SERV,5064,6,401
57,CQ2,Veteran support services,VETERAN_SUERVIC,5065,7,401
58,CQ2,Immigration services,IMMIGR_SERVIC,5066,8,401
59,CQ2,Data Access and Sharing,DATA_ACCESS_SHA,5067,9,401
60,CQ2,NASA and space services,NASA_SPACE_SERV,5068,10,401
61,CQ2,Access control,ACCESS_CONTROL,5069,11,401
62,CQ2,Visitor management,VISITOR_MANAG,5070,12,401
63,CQ2,Video surveillance,VIDEO_SURVEIL,5071,13,401
64,CQ2,PII data control,PII_DATA_CONTRO,5072,14,401
65,CQ2,Communication,COMMUN,5073,15,401
66,CQ2,Emergency dispatch,EMERG_DISPATCH,5074,16,401
67,CQ2,IT Support service,IT_SUPPORT_SERV,5075,17,401
68,CQ2,Data center/warehouse,DATA_CENTER_WAR,5076,18,401
69,CQ2,Emergency Alerts,EMERG_ALERT,5077,19,401
70,CQ2,Real Time data access,REAL_TIME_CCESS,5078,20,401
71,CQ2,Physical Security,PHYSIC_SECUR,5079,21,401
72,CQ2,Weather Display and alerts,WEATHER_DIALERT,5080,22,401
73,CQ2,Payroll related Services,PAYROL_RELAT_SE,5081,23,401
74,CQ2,Web Based Monitoring,WEB_BASE_MONITO,5082,24,401
75,CQ2,Provides infrastructure services,PROVID_INFERVIC,5083,25,401
76,CQ2,Other [Free Text],OTHER_FREE_TEXT,5084,26,401
77,CQ3,Federal Agencies employees,FEDER_AGENC_EMP,5094,1,402
78,CQ3,Emergency responders/emergency managers,EMERG_RESPMANAG,5095,2,402
79,CQ3,"Local, State and Government personnel",LOCAL_STATONNEL,5096,3,402
80,CQ3,Federal Employees and designated contractors,FEDER_EMPLACTOR,5097,4,402
81,CQ3,Members of the general public,MEMBER_GENER_PU,5098,5,402
82,CQ3,"NASA (Missions, Services and/or employees)",NASA_MISSIOYEES,5099,6,402
83,CQ3,"Federal, Local, State Law Enforcement",FEDERAL_LONFORC,5100,7,402
84,CQ3,Internal USDA Agencies,INTERN_USDA_AGE,5101,8,402
85,CQ3,"VA Personnel, VA Contractors, Veterans, Veterans' family members",VA_PERSONNEMBER,5102,9,402
86,CQ3,NOAA employees and contractors,NOAA_EMPLOACTOR,5103,10,402
87,CQ3,Aviation workers,AVIAT_WORKER,5104,11,402
88,CQ3,Federal Credit Unions and other Federal finical personnel,FEDER_CREDONNEL,5105,12,402
89,CQ3,Internal and External Stakeholders,INTERN_EXTEHOLD,5106,13,402
90,CQ3,Potential federal employees,POTENTI_FEPLOYE,5107,14,402
91,CQ3,Public officials,PUBLIC_OFFICI,5108,15,402
92,CQ3,Border Patrol,BORDER_PATROL,5109,16,402
93,CQ3,Economic Analysts,ECONOM_ANALYST,5110,17,402
94,CQ3,Infrastructure Support Personnel,INFRASTRUCONNEL,5111,18,402
95,CQ3,SLTT Organizations,SLTT_ORGAN,5112,19,402
96,CQ3,"Federal, State, Local, Tribal, and Territorial communities",FEDERAL_STOMMUN,5113,20,402
97,CQ3,Medical and Healthcare Personnel,MEDIC_HEALONNEL,5114,21,402
98,CQ3,Visa applicants,VISA_APPLIC,5115,22,402
99,CQ3,Military and Defense Personnel,MILITARI_DONNEL,5116,23,402
100,CQ3,other Government systems,GOVERN_SYSTEM,5117,24,402
101,CQ3,other public systems,PUBLIC_SYSTEM,5118,25,402
102,CQ3,Internal agency users,INTERN_AGENC_US,5119,26,402
103,CQ3,External agency users,EXTERN_AGENC_US,5120,27,402
104,CQ3,Other [Free Text],OTHER_FREE_TEXT,5121,28,402
105,CQ3,None,NONE,5122,29,402
106,CQ3,< 5 years,N_5_YEAR,5123,30,402
107,CQ3,> 6 – 10 years,N_6_10_YEAR,5124,31,402
108,CQ3, > 10 – 15 years,N_10_15_YEAR,5125,32,402
109,CQ3, > 15 – 20 years,N_15_20_YEAR,5126,33,402
110,CQ3, > 20 – 30 years,N_20_30_YEAR,5127,34,402
