{QuestionText},{helptext},{idt},{FK_PickListType},{FK_QuestionType},{pre},{FK_QuestionGroup},{sortpos},{PK_Question}
"To what extent does the organization maintain a comprehensive and accurate inventory of its information systems (including cloud systems, public facing websites, and third-party systems), and system interconnections?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined its policies, procedures, and processes for developing and maintaining a comprehensive and accurate inventory of its information systems and system interconnections.</li><li> <strong>Defined:</strong>The organization has defined its policies, procedures, and processes for developing and maintaining a comprehensive and accurate inventory of its information systems and system interconnections.</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements its policies, procedures, and processes to maintain a comprehensive and accurate inventory of its information systems (including cloud systems, public-facing websites, and third-party systems), and system interconnections.</li><li> <strong>Managed and Measurable:</strong>The organization ensures that the information systems included in its inventory are subject to the monitoring processes defined within the organization`s ISCM strategy.</li><li> <strong>Optimized:</strong>The organization uses automation to develop and maintain a centralized information system inventory that includes hardware and software components from all organizational information systems. The centralized inventory is updated in a near-real time basis.</li></ul>",1,85,17,,@PK_QGroup+2,1,53010
To what extent does the organization use standard data elements/taxonomy to develop and maintain an up-to-date inventory of hardware assets (including GFE and Bring Your Own Device (BYOD) mobile devices) connected to the organization’s network with the detailed information necessary for tracking and reporting?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-to- date inventory of hardware assets connected to the organization’s network (including through automated asset discovery) with the detailed information necessary for tracking and reporting.</li><li> <strong>Defined:</strong>The organization has defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-to- date inventory of hardware assets connected to the organization’s network (including through automated asset discovery) with the detailed information necessary for tracking and reporting.</li><li> <strong>Consistently Implemented:</strong>The organization consistently uses its standard data elements/taxonomy to develop and maintain an up- to-date inventory of hardware assets connected to the organization’s network (including through automated asset discovery) and uses this taxonomy to inform which assets can/cannot be introduced into the network.
The organization is making sufficient progress towards reporting at least 80% of its GFEs through DHS’ CDM program.</li><li> <strong>Managed and Measurable:</strong>The organization ensures that the hardware assets connected to the network are covered by an organization-wide hardware asset management capability and are subject to the monitoring processes defined within the organization`s ISCM strategy.
For mobile devices, the agency enforces the capability to deny access to agency enterprise services when security and operating system updates have not been applied within a given period based on agency policy or guidance.</li><li> <strong>Optimized:</strong>The organization employs automation to track the life cycle of the organization`s hardware assets with processes that limit the manual/procedural methods for asset management. Further, hardware inventories are regularly updated as part of the organization’s enterprise architecture current and future states.</li></ul>",2,85,17,",",@PK_QGroup+2,2,53011
To what extent does the organization use standard data elements/taxonomy to develop and maintain an up-to-date inventory of the software and associated licenses used within the organization with the detailed information necessary for tracking and reporting?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-to- date inventory of software assets and licenses, including for EO-critical software and mobile applications, used in the organization`s environment with the detailed information necessary for tracking and reporting.</li><li> <strong>Defined:</strong>The organization has defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-to- date inventory of software assets and licenses, including for EO-critical software and mobile applications, used in the organization`s environment with the detailed information necessary for tracking and reporting.</li><li> <strong>Consistently Implemented:</strong>The organization consistently uses its standard data elements/taxonomy to develop and maintain an up- to-date inventory of software assets and licenses, including for EO-critical software and mobile applications, used in the organization`s environment and uses this taxonomy to inform which assets can/cannot be introduced into the network.
The organization establishes and maintains a software inventory for all platforms running EO-critical software and all software (both EO- critical and non-EO-critical) deployed to each platform.</li><li> <strong>Managed and Measurable:</strong>The organization ensures that the software assets, including EO-critical software and mobile applications as appropriate, on the network (and their associated licenses), are covered by an organization- wide software asset management (or Mobile Device Management) capability and are subject to the monitoring processes defined within the organization`s ISCM strategy.
For mobile devices, the agency enforces the capability to prevent the execution of unauthorized software (e.g., blacklist, whitelist, or cryptographic containerization).</li><li> <strong>Optimized:</strong>The organization employs automation to track the life cycle of the organization`s software assets (and their associated licenses), including for EO-critical software and mobile applications, with processes that limit the manual/procedural methods for asset management. Further, software inventories  are regularly updated as part of the organization’s enterprise architecture current and future states.</li></ul>",3,85,17,",",@PK_QGroup+2,3,53012
"To what extent has the organization categorized and communicated the importance/priority of information systems in enabling its missions and business functions, including for high value assets?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined policies, procedures, and processes for categorizing, reviewing, and communicating the importance/priority of information systems in enabling its missions and business functions, including for high value assets, as appropriate.
In addition, the organization has not defined its policies, procedures, and processes for controls allocation, selection, and tailoring based on the importance/ priority of its information systems.</li><li> <strong>Defined:</strong>The organization has defined policies, procedures, and processes for categorizing, reviewing, and communicating the importance/priority of information systems in enabling its missions and business functions, including for high value assets, as appropriate.
In addition, the organization has defined policies, procedures, and processes for controls allocation, selection and tailoring based on the importance/ priority of its
information systems.</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements its policies, procedures, and processes for system categorization, review, and communication, including for high value assets, as appropriate.
Security categorizations consider potential adverse impacts to organization operations, organizational assets, individuals, other organizations, and the Nation. System categorization levels are used to guide risk management decisions, such as the allocation, selection, and implementation of appropriate control baselines.</li><li> <strong>Managed and Measurable:</strong>The organization ensures the risk-based allocation of resources based on system categorization, including for the protection of high value assets, as appropriate, through collaboration and data-driven prioritization.</li><li> <strong>Optimized:</strong>The organization uses impact-level prioritization for additional granularity, and cybersecurity framework profiles, as appropriate, to support risk-based decision- making.</li></ul>",4,85,17,",",@PK_QGroup+2,4,53013
"To what extent does the organization ensure that information system security risks are adequately managed at the organizational, mission/business process, and information system levels?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined and communicated the policies, procedures and processes it uses to manage the cybersecurity risks associated with operating and maintaining its information systems. At a minimum, the policies, procedures, and processes do not cover the following areas from a cybersecurity perspective:
<br> Risk framing
<br> Risk assessment
<br> Risk response
<br> Risk monitoring</li><li> <strong>Defined:</strong>The organization has defined and communicated the policies, procedures and processes it uses to manage the cybersecurity risks associated with operating and maintaining its information systems. The policies, procedures, and processes cover cybersecurity risk management at the organizational, mission/business process, and information system levels and address the following components
<br> Risk framing
<br> Risk assessment
<br> Risk response
<br> Risk monitoring</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements its policies, procedures, and processes to manage the cybersecurity risks associated with operating and maintaining its information systems. The organization ensures that decisions to manage cybersecurity risk at the information system level are informed and guided by risk decisions made at the organizational and mission/business levels.
System risk assessments are performed [according to organizational defined time frames] and appropriate security controls to mitigate risks identified are implemented on a consistent basis. The organization uses the common vulnerability scoring system, or similar approach, to communicate the characteristics and severity of software vulnerabilities.
Further, the organization uses a cybersecurity risk register to manage risks, as appropriate, and is consistently capturing and sharing lessons learned on the effectiveness of cybersecurity risk management processes and
updating the program accordingly.</li><li> <strong>Managed and Measurable:</strong>The organization uses the results of its system level risk assessments, along with other inputs, to perform and maintain an organization-wide cybersecurity and privacy risk assessment. The result of this assessment is documented in a cybersecurity risk register and serve as an input into the organization’s enterprise risk management program. The organization consistently monitors the effectiveness of risk responses to ensure that risk tolerances are maintained at an appropriate level.
The organization ensures that information in cybersecurity risk registers is obtained accurately, consistently, and in a reproducible format and is used to (i) quantify and aggregate security risks, (ii) normalize cybersecurity risk information across organizational units, and (iii) prioritize operational risk response.</li><li> <strong>Optimized:</strong>The cybersecurity risk management program is fully integrated at the organizational, mission/business process, and information system levels, as well as with the entity’s enterprise risk management program.
Further, the organization`s cybersecurity risk management program is embedded into daily decision making across the organization and provides for continuous identification and monitoring to ensure that risk remains within organizationally-defined acceptable levels.
The organization uses Cybersecurity Framework profiles and enterprise risk profiles to align cybersecurity outcomes with mission or business requirements, risk tolerance, and resources of the organization.</li></ul>",5,85,17,",",@PK_QGroup+2,5,53014
"To what extent does the organization use an information security architecture to provide a disciplined and structured methodology for managing risk, including risk from the organization’s supply chain?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined an information security architecture and its processes for ensuring that new/acquired hardware/software, including mobile apps, are consistent with its security architecture prior to introducing systems into its development environment.</li><li> <strong>Defined:</strong>The organization has defined an information security architecture and described how that architecture is integrated into and supports the organization’s enterprise architecture.
In addition, the organization has defined how it implements system security engineering principles and software assurance processes for mobile applications, within its system development life
cycle (SDLC).</li><li> <strong>Consistently Implemented:</strong>The organization has consistently implemented its security architecture across the enterprise, business process, and system levels. System security engineering principles are followed and include assessing the impacts to the organizations information security architecture prior to introducing information system changes into the organization’s environment.
In addition, the organization employs a software assurance process for mobile applications.</li><li> <strong>Managed and Measurable:</strong>The organization’s information security architecture is integrated with its systems development lifecycle and defines and directs implementation of security methods, mechanisms, and capabilities to both the Information and Communications Technology (ICT) supply chain and the organization’s information systems.</li><li> <strong>Optimized:</strong>The organization uses advanced technologies and techniques for managing supply chain risks. To the extent practicable, the organization can quickly adapt its information security and enterprise architectures to mitigate supply chain risks.</li></ul>",6,85,17,",",@PK_QGroup+2,6,53015
"To what extent have the roles and responsibilities of internal and external stakeholders involved in cybersecurity risk management processes been defined, communicated, implemented, and appropriately resourced across the organization?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Roles and responsibilities for cybersecurity risk management have not been defined and communicated across the organization.
Further, the organization has not defined the relevant work roles for stages in the cybersecurity risk management process and which roles are responsible, accountable, consulted, or informed about various activities, as appropriate. In addition, the organization has not defined the relationships between cybersecurity risk management roles and those roles involved with enterprise risk management.</li><li> <strong>Defined:</strong>Roles and responsibilities of stakeholders involved in cybersecurity risk management processes have been defined and communicated across the organization. This includes the relevant work roles for stages in the cybersecurity risk management process and which roles are responsible, accountable, consulted, or informed about various activities, as appropriate.
In addition, the organization has defined and clearly communicated the relationships between cybersecurity risk management roles and those roles involved with enterprise risk
management.</li><li> <strong>Consistently Implemented:</strong>Individuals are consistently performing the cybersecurity risk management roles and responsibilities that have been defined across the organization. This includes roles and responsibilities related to integration with enterprise risk management processes, as appropriate.</li><li> <strong>Managed and Measurable:</strong>Resources (people, processes, and technology) are allocated in a risk-based manner for stakeholders to effectively implement cybersecurity risk management activities and integrate those activities with enterprise risk management processes, as appropriate.
Further, stakeholders involved in cybersecurity risk management are held accountable for carrying out their roles and responsibilities effectively.</li><li> <strong>Optimized:</strong>The organization uses an integrated governance structure, in accordance with A- 123, and associated review processes (e.g., ERM councils or IT investment review boards) to support the integration of roles and responsibilities for cybersecurity risk management and ERM.</li></ul>",7,85,17,",",@PK_QGroup+2,7,53016
To what extent has the organization ensured that plans of action and milestones (POA&Ms) are used for effectively mitigating security weaknesses?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Policies and procedures for the effective use of POA&Ms to mitigate security weaknesses have not been defined and communicated.</li><li> <strong>Defined:</strong>Policies and procedures for the effective use of POA&Ms have been defined and communicated.
These policies and procedures address, at a minimum, the centralized tracking of security weaknesses, prioritization of remediation efforts, monitoring and maintenance, and independent validation of POA&M activities.</li><li> <strong>Consistently Implemented:</strong>The organization consistently uses POA&Ms to effectively mitigate security weaknesses. The organization uses a prioritized and consistent approach to POA&Ms that considers:
<br> Security categorizations
<br> Security, privacy, and supply chain risk assessments
<br> Specific control deficiencies and their criticality
<br> Rationale for accepting certain deficiencies in controls
<br> Required POA&M attributes, in accordance with OMB M-04-14 (e.g., severity and brief description of the weakness, remediation tasks and milestones for meeting those tasks, and estimated funding resources required to resolve the weakness)
Further, the organization uses lessons learned in implementation to review and update its POA&M
processes.</li><li> <strong>Managed and Measurable:</strong>The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its POA&M activities and uses that information to make appropriate adjustments, as needed, to ensure that its risk posture is maintained.</li><li> <strong>Optimized:</strong>The organization employs automation to correlate security weaknesses amongst information systems and identify enterprise- wide trends and solutions in a near real- time basis.
Further, processes are in place to identify and manage emerging risks, in addition to known security weaknesses.</li></ul>",8,85,17,",",@PK_QGroup+2,8,53017
To what extent does the organization ensure that information about cybersecurity risks is communicated in a timely and effective manner to appropriate internal and external stakeholders?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined how cybersecurity risk information is communicated in a timely and effective manner to appropriate internal and external stakeholders.</li><li> <strong>Defined:</strong>The organization has defined how cybersecurity risks are identified, documented, and communicated in a timely and effective manner to appropriate internal and external stakeholders. This includes the organizations policies, procedures, and processes for using cybersecurity risk registers, or other comparable mechanisms, to share and coordinate cybersecurity risk activities.</li><li> <strong>Consistently Implemented:</strong>The organization consistently uses a cybersecurity risk register, or other comparable mechanism to ensure that information about risks is communicated in a timely and effective manner to appropriate internal and external stakeholders with a need-to-know. Furthermore, the organization actively shares information with partners to ensure that accurate, current information is being distributed and consumed.
Further, processes to share cybersecurity risk information are integrated with the organization’s ISCM processes.</li><li> <strong>Managed and Measurable:</strong>The organization employs robust diagnostic and reporting frameworks, including dashboards that facilitate a portfolio view of cybersecurity risks across the organization. The dashboard presents qualitative and quantitative metrics that provide indicators of cybersecurity risk. Cybersecurity risks are integrated into enterprise level dashboards and reporting frameworks.
The organization ensures that data supporting the cybersecurity risk register, or other comparable mechanism, are obtained accurately, consistently, and in a reproducible format and is used to:
<br> Quantify and aggregate security risks
<br> Normalize information across organizational units
<br> Prioritize operational risk response activities</li><li> <strong>Optimized:</strong>Using risk profiles and dynamic reporting mechanisms, cybersecurity risk information is incorporated into the organization’s enterprise risk management program and used to provide a fully integrated, prioritized, enterprise- wide near real-time view of organizational risks to drive strategic and business decisions.
Cyber risks are normalized and translated at the organizational level to support a fully integrated, prioritized, enterprise-wide view of organizational risks to drive strategic and business decisions.</li></ul>",9,85,17,",",@PK_QGroup+2,9,53018
"To what extent does the organization use technology/automation to provide a centralized, enterprise wide (portfolio) view of cybersecurity risk management activities across the organization, including risk control and remediation activities, dependencies, risk scores/levels, and management dashboards?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not identified and defined its requirements for an automated solution to provide a centralized, enterprise wide (portfolio) view of cybersecurity risks across the organization, including risk control and remediation activities, dependences, risk scores/levels, and management dashboards.</li><li> <strong>Defined:</strong>The organization has identified and defined its requirements for an automated solution that provides a centralized, enterprise-wide view of cybersecurity risks across the organization, including risk control and remediation activities, dependencies, risk scores/levels, and management dashboards.</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements an automated solution across the enterprise that provides a centralized, enterprise-wide view of cybersecurity risks, including risk control and remediation activities, dependencies, risk scores/levels, and management dashboards. All necessary sources of cybersecurity risk  information are integrated into the solution.</li><li> <strong>Managed and Measurable:</strong>In addition, the organization ensures that cybersecurity risk management information is integrated into ERM reporting tools (such as a governance, risk management, and compliance tool), as appropriate.</li><li> <strong>Optimized:</strong>The organization has institutionalized the use of advanced technologies for  analysis of trends and performance against benchmarks to continuously improve its cybersecurity risk management program. Examples include scenario analysis and modeling, the incorporation of technical indicators from threat intelligence, and the ability to consume open security control assessments language (OSCAL) into
its GRC processes.</li></ul>",10,85,17,",",@PK_QGroup+2,10,53019
