      PK_Question  FK_QuestionType  Code                                                                                                                                                                                                                                                                                                                                                                       QuestionText
301         36346               35   DEC                                                                                                                                                                                                                                                                                                           MEAN TIME TO REMEDIATION OF KNOWN EXPLOITED VULNERABILITIES KEVS IN DAYS
394         30330               23  FREQ                                                                                                                                                                                                                                                                                               MEAN TIME TO INCIDENT RESOLUTION VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
395         30329               23  FREQ                                                                                                                                                                                                                                                                                                   MEAN TIME TO INCIDENT TRIAGE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
396         30328               23  FREQ                                                                                                                                                                                                                                                                                           MEAN TIME TO INCIDENT FIRST RESPONSE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
420         30222               23  FREQ                                                                                                                                                                                                                                                                                                  PLEASE ENTER A VALUE AND TIME UNIT NUMERICDROP-DOWN HOURS DAYS WEEKS MONTHS YEARS
438         30142               35   DEC                                                                                                                                                                                                                                                                                                       WHAT WAS THE COST IN MILLIONS OF DOLLARS OF PENETRATION TESTS FROM CONDUCTED
569         29230               23  FREQ                                                                                                                                                                                                                                                                                               MEAN TIME TO INCIDENT RESOLUTION VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
570         29229               23  FREQ                                                                                                                                                                                                                                                                                                   MEAN TIME TO INCIDENT TRIAGE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
571         29228               23  FREQ                                                                                                                                                                                                                                                                                           MEAN TIME TO INCIDENT FIRST RESPONSE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
595         29122               23  FREQ                                                                                                                                                                                                                                                                                                  PLEASE ENTER A VALUE AND TIME UNIT NUMERICDROP-DOWN HOURS DAYS WEEKS MONTHS YEARS
613         29042               35   DEC                                                                                                                                                                                                                                                                                                       WHAT WAS THE COST IN MILLIONS OF DOLLARS OF PENETRATION TESTS FROM CONDUCTED
974         27930               23  FREQ                                                                                                                                                                                                                                                                                               MEAN TIME TO INCIDENT RESOLUTION VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
975         27929               23  FREQ                                                                                                                                                                                                                                                                                                   MEAN TIME TO INCIDENT TRIAGE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
976         27928               23  FREQ                                                                                                                                                                                                                                                                                           MEAN TIME TO INCIDENT FIRST RESPONSE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
1000        27822               23  FREQ                                                                                                                                                                                                                                                                                                  PLEASE ENTER A VALUE AND TIME UNIT NUMERICDROP-DOWN HOURS DAYS WEEKS MONTHS YEARS
1018        27742               35   DEC                                                                                                                                                                                                                                                                                                       WHAT WAS THE COST IN MILLIONS OF DOLLARS OF PENETRATION TESTS FROM CONDUCTED
1093        27430               23  FREQ                                                                                                                                                                                                                                                                                               MEAN TIME TO INCIDENT RESOLUTION VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
1094        27429               23  FREQ                                                                                                                                                                                                                                                                                                   MEAN TIME TO INCIDENT TRIAGE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
1095        27428               23  FREQ                                                                                                                                                                                                                                                                                           MEAN TIME TO INCIDENT FIRST RESPONSE VALUE AND TIME UNIT OR NOT MATURE ENOUGH TO MEASURE
1119        27322               23  FREQ                                                                                                                                                                                                                                                                                                  PLEASE ENTER A VALUE AND TIME UNIT NUMERICDROP-DOWN HOURS DAYS WEEKS MONTHS YEARS
1137        27242               35   DEC                                                                                                                                                                                                                                                                                                       WHAT WAS THE COST IN MILLIONS OF DOLLARS OF PENETRATION TESTS FROM CONDUCTED
1302        24279               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1306        24259               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1307        24257               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1310        24249               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
1429        23179               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1433        23159               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1434        23157               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1437        23149               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
1608        22411               35   DEC                                                                                                                                                                                                                                                                                                                           MEDIAN TIME IN DAYS TO INITIALLY RESPOND TO THE REPORTER
1609        22410               35   DEC                                                                                                                                                                                                                                                                                                                            MEDIAN TIME IN DAYS TO REMEDIATEMITIGATE A VALID REPORT
1610        22409               35   DEC                                                                                                                                                                                                                                                                                                                                 MEDIAN TIME IN DAYS TO VALIDATE A SUBMITTED REPORT
1611        22408               35   DEC                                                                                                                                                                                                                                                                                                                                      MEDIAN AGE IN DAYS OF REPORTS OLDER THAN DAYS
1614        22405               35   DEC                                                                                                                                                                                                                                                                                 MEDIAN AGE IN DAYS FROM RECEIPT OF THE REPORT OF CURRENTLY OPEN AND VALID REPORTED VULNERABILITIES
1618        22079               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1622        22059               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1623        22057               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1626        22049               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
1677        21643               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1681        21623               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1682        21621               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1685        21613               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
1835        20359               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1839        20339               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1840        20337               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1843        20329               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
1866        20239               23  FREQ                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
1972        19623               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1976        19603               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1977        19601               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
1980        19593               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2003        19503               23  FREQ                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2034        19036               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
